target,actual,predicted
majorindustrycode,Not in universe or children,Transportation
majorindustrycode,Other professional services,Transportation
majorindustrycode,Retail trade,Manufacturing-nondurable goods
majorindustrycode,Retail trade,Personal services except private HH
majorindustrycode,Wholesale trade,Transportation
majorindustrycode,Finance insurance and real estate,Medical except hospital
majorindustrycode,Transportation,Transportation
majorindustrycode,Construction,Business and repair services
majorindustrycode,Manufacturing-durable goods,Medical except hospital
majorindustrycode,Personal services except private HH,Transportation
majorindustrycode,Not in universe or children,Medical except hospital
majorindustrycode,Manufacturing-durable goods,Transportation
majorindustrycode,Construction,Transportation
majorindustrycode,Education,Medical except hospital
majorindustrycode,Entertainment,Transportation
majorindustrycode,Business and repair services,Public administration
majorindustrycode,Retail trade,Wholesale trade
majorindustrycode,Education,Mining
majorindustrycode,Retail trade,Transportation
majorindustrycode,Finance insurance and real estate,Hospital services
majorindustrycode,Public administration,Transportation
majorindustrycode,Retail trade,Hospital services
majorindustrycode,Manufacturing-nondurable goods,Transportation
majorindustrycode,Education,Transportation
majorindustrycode,Retail trade,Medical except hospital
majorindustrycode,Transportation,Medical except hospital
majorindustrycode,Private household services,Medical except hospital
majorindustrycode,Not in universe or children,Manufacturing-durable goods
majorindustrycode,Manufacturing-durable goods,Transportation
majorindustrycode,Hospital services,Medical except hospital
majorindustrycode,Education,Hospital services
majorindustrycode,Manufacturing-durable goods,Retail trade
majorindustrycode,Education,Manufacturing-nondurable goods
majorindustrycode,Manufacturing-nondurable goods,Finance insurance and real estate
majorindustrycode,Finance insurance and real estate,Wholesale trade
majorindustrycode,Retail trade,Retail trade
majorindustrycode,Medical except hospital,Medical except hospital
majorindustrycode,Education,Public administration
majorindustrycode,Not in universe or children,Other professional services
majorindustrycode,Finance insurance and real estate,Transportation
majorindustrycode,Transportation,Mining
majorindustrycode,Business and repair services,Transportation
majorindustrycode,Public administration,Wholesale trade
majorindustrycode,Medical except hospital,Manufacturing-nondurable goods
majorindustrycode,Manufacturing-nondurable goods,Mining
majorindustrycode,Agriculture,Medical except hospital
majorindustrycode,Retail trade,Retail trade
majorindustrycode,Finance insurance and real estate,Medical except hospital
majorindustrycode,Education,Medical except hospital
majorindustrycode,Construction,Construction
majorindustrycode,Public administration,Education
majorindustrycode,Social services,Retail trade
majorindustrycode,Finance insurance and real estate,Finance insurance and real estate
majorindustrycode,Wholesale trade,Retail trade
majorindustrycode,Medical except hospital,Retail trade
majorindustrycode,Manufacturing-durable goods,Wholesale trade
majorindustrycode,Personal services except private HH,Other professional services
majorindustrycode,Business and repair services,Wholesale trade
majorindustrycode,Not in universe or children,Finance insurance and real estate
majorindustrycode,Manufacturing-nondurable goods,Public administration
majorindustrycode,Wholesale trade,Hospital services
majorindustrycode,Retail trade,Other professional services
majorindustrycode,Retail trade,Social services
majorindustrycode,Education,Medical except hospital
majorindustrycode,Construction,Retail trade
majorindustrycode,Other professional services,Manufacturing-durable goods
majorindustrycode,Agriculture,Medical except hospital
majorindustrycode,Mining,Transportation
majorindustrycode,Construction,Transportation
majorindustrycode,Public administration,Medical except hospital
majorindustrycode,Transportation,Wholesale trade
majorindustrycode,Manufacturing-nondurable goods,Medical except hospital
majorindustrycode,Manufacturing-nondurable goods,Hospital services
majorindustrycode,Personal services except private HH,Retail trade
majorindustrycode,Retail trade,Construction
majorindustrycode,Retail trade,Retail trade
majorindustrycode,Construction,Transportation
majorindustrycode,Manufacturing-nondurable goods,Business and repair services
majorindustrycode,Construction,Agriculture
majorindustrycode,Education,Construction
majorindustrycode,Retail trade,Medical except hospital
majorindustrycode,Hospital services,Communications
majorindustrycode,Business and repair services,Manufacturing-nondurable goods
majorindustrycode,Social services,Hospital services
majorindustrycode,Construction,Manufacturing-durable goods
majorindustrycode,Personal services except private HH,Wholesale trade
majorindustrycode,Business and repair services,Other professional services
majorindustrycode,Communications,Manufacturing-durable goods
majorindustrycode,Other professional services,Retail trade
majorindustrycode,Retail trade,Manufacturing-durable goods
majorindustrycode,Construction,Mining
majorindustrycode,Entertainment,Personal services except private HH
majorindustrycode,Medical except hospital,Public administration
majorindustrycode,Wholesale trade,Medical except hospital
majorindustrycode,Private household services,Manufacturing-durable goods
majorindustrycode,Education,Medical except hospital
majorindustrycode,Manufacturing-durable goods,Other professional services
majorindustrycode,Manufacturing-nondurable goods,Personal services except private HH
majorindustrycode,Finance insurance and real estate,Medical except hospital
majorindustrycode,Retail trade,Medical except hospital
majorindustrycode,Construction,Medical except hospital
majorindustrycode,Finance insurance and real estate,Other professional services
majorindustrycode,Construction,Agriculture
majorindustrycode,Manufacturing-nondurable goods,Retail trade
majorindustrycode,Agriculture,Manufacturing-durable goods
majorindustrycode,Manufacturing-durable goods,Medical except hospital
majorindustrycode,Manufacturing-durable goods,Communications
majorindustrycode,Private household services,Medical except hospital
majorindustrycode,Construction,Personal services except private HH
majorindustrycode,Construction,Entertainment
majorindustrycode,Forestry and fisheries,Transportation
majorindustrycode,Business and repair services,Business and repair services
majorindustrycode,Entertainment,Public administration
majorindustrycode,Agriculture,Medical except hospital
majorindustrycode,Private household services,Retail trade
majorindustrycode,Education,Manufacturing-durable goods
majorindustrycode,Agriculture,Public administration
majorindustrycode,Manufacturing-nondurable goods,Education
majorindustrycode,Social services,Hospital services
majorindustrycode,Agriculture,Transportation
majorindustrycode,Other professional services,Medical except hospital
majorindustrycode,Manufacturing-nondurable goods,Medical except hospital
majorindustrycode,Retail trade,Manufacturing-nondurable goods
