target,actual,predicted
education,Some college but no degree,Associates degree-occup /vocational
education,Some college but no degree,Associates degree-occup /vocational
education,7th and 8th grade,Children
education,High school graduate,High school graduate
education,11th grade,High school graduate
education,Bachelors degree(BA AB BS),Masters degree(MA MS MEng MEd MSW MBA)
education,1st 2nd 3rd or 4th grade,High school graduate
education,Associates degree-academic program,Associates degree-occup /vocational
education,Some college but no degree,High school graduate
education,Doctorate degree(PhD EdD),Associates degree-occup /vocational
education,Some college but no degree,High school graduate
education,Children,1st 2nd 3rd or 4th grade
education,High school graduate,High school graduate
education,7th and 8th grade,1st 2nd 3rd or 4th grade
education,11th grade,10th grade
education,12th grade no diploma,High school graduate
education,Bachelors degree(BA AB BS),High school graduate
education,High school graduate,Some college but no degree
education,Masters degree(MA MS MEng MEd MSW MBA),Doctorate degree(PhD EdD)
education,10th grade,10th grade
education,1st 2nd 3rd or 4th grade,Some college but no degree
education,Associates degree-academic program,Associates degree-occup /vocational
education,High school graduate,10th grade
education,Some college but no degree,Some college but no degree
education,7th and 8th grade,10th grade
education,Bachelors degree(BA AB BS),Associates degree-occup /vocational
education,Some college but no degree,Some college but no degree
education,Children,7th and 8th grade
education,5th or 6th grade,Children
education,Some college but no degree,High school graduate
education,Bachelors degree(BA AB BS),Some college but no degree
education,Some college but no degree,High school graduate
education,11th grade,Associates degree-occup /vocational
education,High school graduate,High school graduate
education,11th grade,Associates degree-occup /vocational
education,Masters degree(MA MS MEng MEd MSW MBA),High school graduate
education,10th grade,Associates degree-occup /vocational
education,Some college but no degree,Some college but no degree
education,High school graduate,High school graduate
education,Some college but no degree,11th grade
education,High school graduate,High school graduate
education,High school graduate,11th grade
education,Some college but no degree,High school graduate
education,Bachelors degree(BA AB BS),10th grade
education,Associates degree-academic program,Masters degree(MA MS MEng MEd MSW MBA)
education,9th grade,Associates degree-occup /vocational
education,Less than 1st grade,High school graduate
education,Masters degree(MA MS MEng MEd MSW MBA),Some college but no degree
education,Some college but no degree,Bachelors degree(BA AB BS)
education,Some college but no degree,5th or 6th grade
education,Some college but no degree,11th grade
education,Bachelors degree(BA AB BS),11th grade
education,Associates degree-academic program,High school graduate
education,Masters degree(MA MS MEng MEd MSW MBA),10th grade
education,9th grade,10th grade
education,Some college but no degree,High school graduate
education,High school graduate,Bachelors degree(BA AB BS)
education,Associates degree-academic program,Some college but no degree
education,Some college but no degree,10th grade
education,High school graduate,Some college but no degree
education,High school graduate,7th and 8th grade
education,1st 2nd 3rd or 4th grade,7th and 8th grade
education,High school graduate,11th grade
education,9th grade,Bachelors degree(BA AB BS)
education,11th grade,Bachelors degree(BA AB BS)
education,High school graduate,Some college but no degree
education,Associates degree-occup /vocational,Associates degree-occup /vocational
education,10th grade,Children
education,Bachelors degree(BA AB BS),Some college but no degree
education,Doctorate degree(PhD EdD),Some college but no degree
education,Associates degree-academic program,Doctorate degree(PhD EdD)
education,High school graduate,Some college but no degree
education,Some college but no degree,Some college but no degree
education,Associates degree-occup /vocational,Children
education,10th grade,High school graduate
education,Some college but no degree,Some college but no degree
education,9th grade,5th or 6th grade
education,10th grade,High school graduate
education,High school graduate,Some college but no degree
education,Bachelors degree(BA AB BS),Bachelors degree(BA AB BS)
education,High school graduate,High school graduate
education,10th grade,Some college but no degree
education,Bachelors degree(BA AB BS),11th grade
education,Masters degree(MA MS MEng MEd MSW MBA),Some college but no degree
education,High school graduate,5th or 6th grade
education,Associates degree-academic program,High school graduate
education,Less than 1st grade,Children
education,Associates degree-occup /vocational,Bachelors degree(BA AB BS)
education,High school graduate,10th grade
education,High school graduate,High school graduate
education,Some college but no degree,High school graduate
education,Associates degree-academic program,High school graduate
education,11th grade,Children
