target,actual,predicted
education,Children,High school graduate
education,10th grade,Less than 1st grade
education,High school graduate,Associates degree-academic program
education,High school graduate,7th and 8th grade
education,High school graduate,High school graduate
education,Children,High school graduate
education,High school graduate,Less than 1st grade
education,7th and 8th grade,High school graduate
education,7th and 8th grade,1st 2nd 3rd or 4th grade
education,5th or 6th grade,Less than 1st grade
education,11th grade,Associates degree-academic program
education,11th grade,High school graduate
education,Some college but no degree,Masters degree(MA MS MEng MEd MSW MBA)
education,Prof school degree (MD DDS DVM LLB JD),High school graduate
education,High school graduate,Associates degree-academic program
education,Some college but no degree,7th and 8th grade
education,High school graduate,Masters degree(MA MS MEng MEd MSW MBA)
education,12th grade no diploma,High school graduate
education,High school graduate,5th or 6th grade
education,High school graduate,Bachelors degree(BA AB BS)
education,1st 2nd 3rd or 4th grade,Some college but no degree
education,Bachelors degree(BA AB BS),Masters degree(MA MS MEng MEd MSW MBA)
education,7th and 8th grade,High school graduate
education,9th grade,Associates degree-academic program
education,High school graduate,Some college but no degree
education,Some college but no degree,High school graduate
education,High school graduate,10th grade
education,Masters degree(MA MS MEng MEd MSW MBA),High school graduate
education,Some college but no degree,7th and 8th grade
education,11th grade,Associates degree-academic program
education,Associates degree-occup /vocational,High school graduate
education,10th grade,Associates degree-academic program
education,Some college but no degree,High school graduate
education,Some college but no degree,Some college but no degree
education,10th grade,Some college but no degree
education,7th and 8th grade,10th grade
education,7th and 8th grade,Some college but no degree
education,1st 2nd 3rd or 4th grade,Bachelors degree(BA AB BS)
education,Bachelors degree(BA AB BS),Masters degree(MA MS MEng MEd MSW MBA)
education,Masters degree(MA MS MEng MEd MSW MBA),High school graduate
education,High school graduate,High school graduate
education,Bachelors degree(BA AB BS),High school graduate
education,High school graduate,Some college but no degree
education,High school graduate,High school graduate
education,10th grade,Some college but no degree
education,High school graduate,11th grade
education,Doctorate degree(PhD EdD),Masters degree(MA MS MEng MEd MSW MBA)
education,Bachelors degree(BA AB BS),Associates degree-academic program
education,Associates degree-academic program,High school graduate
education,10th grade,10th grade
education,11th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,Bachelors degree(BA AB BS),Some college but no degree
education,Associates degree-occup /vocational,High school graduate
education,12th grade no diploma,Associates degree-academic program
education,Bachelors degree(BA AB BS),Masters degree(MA MS MEng MEd MSW MBA)
education,5th or 6th grade,Bachelors degree(BA AB BS)
education,11th grade,5th or 6th grade
education,Bachelors degree(BA AB BS),Some college but no degree
education,Less than 1st grade,Children
education,11th grade,Some college but no degree
education,11th grade,High school graduate
education,Associates degree-academic program,Some college but no degree
education,9th grade,High school graduate
education,High school graduate,High school graduate
education,7th and 8th grade,Associates degree-academic program
education,Masters degree(MA MS MEng MEd MSW MBA),Some college but no degree
education,9th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,5th or 6th grade,5th or 6th grade
education,Doctorate degree(PhD EdD),Some college but no degree
education,Masters degree(MA MS MEng MEd MSW MBA),Some college but no degree
education,Children,5th or 6th grade
education,High school graduate,Some college but no degree
education,Masters degree(MA MS MEng MEd MSW MBA),High school graduate
education,Associates degree-occup /vocational,Masters degree(MA MS MEng MEd MSW MBA)
education,Prof school degree (MD DDS DVM LLB JD),10th grade
