target,actual,predicted
education,Some college but no degree,Some college but no degree
education,Children,10th grade
education,High school graduate,12th grade no diploma
education,Some college but no degree,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,Bachelors degree(BA AB BS)
education,Children,Children
education,7th and 8th grade,High school graduate
education,Associates degree-academic program,High school graduate
education,Children,Children
education,5th or 6th grade,High school graduate
education,Less than 1st grade,10th grade
education,11th grade,Some college but no degree
education,1st 2nd 3rd or 4th grade,High school graduate
education,High school graduate,Some college but no degree
education,High school graduate,5th or 6th grade
education,Prof school degree (MD DDS DVM LLB JD),High school graduate
education,Associates degree-occup /vocational,Masters degree(MA MS MEng MEd MSW MBA)
education,7th and 8th grade,5th or 6th grade
education,12th grade no diploma,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,7th and 8th grade
education,High school graduate,Less than 1st grade
education,Some college but no degree,High school graduate
education,10th grade,10th grade
education,1st 2nd 3rd or 4th grade,High school graduate
education,Bachelors degree(BA AB BS),Masters degree(MA MS MEng MEd MSW MBA)
education,9th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,5th or 6th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,Bachelors degree(BA AB BS),Some college but no degree
education,Bachelors degree(BA AB BS),Some college but no degree
education,High school graduate,Some college but no degree
education,Doctorate degree(PhD EdD),High school graduate
education,Children,Children
education,Children,Children
education,Associates degree-occup /vocational,10th grade
education,Children,Children
education,Some college but no degree,Bachelors degree(BA AB BS)
education,10th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,11th grade,High school graduate
education,Bachelors degree(BA AB BS),High school graduate
education,Some college but no degree,High school graduate
education,Some college but no degree,Some college but no degree
education,Bachelors degree(BA AB BS),High school graduate
education,7th and 8th grade,Children
education,Masters degree(MA MS MEng MEd MSW MBA),Bachelors degree(BA AB BS)
education,High school graduate,Masters degree(MA MS MEng MEd MSW MBA)
education,12th grade no diploma,High school graduate
education,High school graduate,Some college but no degree
education,High school graduate,High school graduate
education,Children,9th grade
education,Bachelors degree(BA AB BS),Some college but no degree
education,10th grade,High school graduate
education,Associates degree-academic program,Some college but no degree
education,10th grade,10th grade
education,Bachelors degree(BA AB BS),Prof school degree (MD DDS DVM LLB JD)
education,12th grade no diploma,10th grade
education,Bachelors degree(BA AB BS),Masters degree(MA MS MEng MEd MSW MBA)
education,Associates degree-academic program,12th grade no diploma
education,11th grade,11th grade
education,Bachelors degree(BA AB BS),7th and 8th grade
education,Associates degree-occup /vocational,High school graduate
education,High school graduate,Some college but no degree
education,11th grade,5th or 6th grade
education,Less than 1st grade,7th and 8th grade
education,Bachelors degree(BA AB BS),Some college but no degree
education,High school graduate,7th and 8th grade
education,10th grade,9th grade
education,Masters degree(MA MS MEng MEd MSW MBA),Some college but no degree
education,9th grade,Bachelors degree(BA AB BS)
education,Masters degree(MA MS MEng MEd MSW MBA),Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,High school graduate
education,7th and 8th grade,Bachelors degree(BA AB BS)
