target,actual,predicted
education,Some college but no degree,High school graduate
education,Some college but no degree,Masters degree(MA MS MEng MEd MSW MBA)
education,Masters degree(MA MS MEng MEd MSW MBA),Masters degree(MA MS MEng MEd MSW MBA)
education,Some college but no degree,5th or 6th grade
education,Bachelors degree(BA AB BS),High school graduate
education,High school graduate,Bachelors degree(BA AB BS)
education,High school graduate,5th or 6th grade
education,High school graduate,Masters degree(MA MS MEng MEd MSW MBA)
education,Bachelors degree(BA AB BS),Masters degree(MA MS MEng MEd MSW MBA)
education,Bachelors degree(BA AB BS),5th or 6th grade
education,5th or 6th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,High school graduate
education,High school graduate,Masters degree(MA MS MEng MEd MSW MBA)
education,11th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,5th or 6th grade
education,7th and 8th grade,Children
education,Bachelors degree(BA AB BS),Some college but no degree
education,Some college but no degree,Bachelors degree(BA AB BS)
education,Some college but no degree,Associates degree-occup /vocational
education,High school graduate,High school graduate
education,High school graduate,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,5th or 6th grade
education,Prof school degree (MD DDS DVM LLB JD),High school graduate
education,High school graduate,High school graduate
education,High school graduate,Bachelors degree(BA AB BS)
education,Doctorate degree(PhD EdD),Bachelors degree(BA AB BS)
education,Associates degree-occup /vocational,Bachelors degree(BA AB BS)
education,Some college but no degree,Masters degree(MA MS MEng MEd MSW MBA)
education,Bachelors degree(BA AB BS),Masters degree(MA MS MEng MEd MSW MBA)
education,Some college but no degree,High school graduate
education,Children,9th grade
education,High school graduate,Bachelors degree(BA AB BS)
education,High school graduate,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,7th and 8th grade
education,7th and 8th grade,10th grade
education,Bachelors degree(BA AB BS),Some college but no degree
education,Some college but no degree,High school graduate
education,Doctorate degree(PhD EdD),Masters degree(MA MS MEng MEd MSW MBA)
education,Some college but no degree,High school graduate
education,10th grade,7th and 8th grade
education,10th grade,12th grade no diploma
education,High school graduate,Bachelors degree(BA AB BS)
education,Some college but no degree,7th and 8th grade
education,High school graduate,12th grade no diploma
education,Some college but no degree,Associates degree-occup /vocational
education,Associates degree-academic program,Bachelors degree(BA AB BS)
education,10th grade,High school graduate
education,11th grade,Some college but no degree
education,Bachelors degree(BA AB BS),5th or 6th grade
education,High school graduate,11th grade
education,10th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,Some college but no degree,Doctorate degree(PhD EdD)
education,Some college but no degree,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,Masters degree(MA MS MEng MEd MSW MBA)
education,11th grade,7th and 8th grade
education,Bachelors degree(BA AB BS),Doctorate degree(PhD EdD)
education,Masters degree(MA MS MEng MEd MSW MBA),Bachelors degree(BA AB BS)
education,1st 2nd 3rd or 4th grade,Prof school degree (MD DDS DVM LLB JD)
education,High school graduate,Some college but no degree
education,Some college but no degree,11th grade
education,7th and 8th grade,5th or 6th grade
education,High school graduate,Some college but no degree
education,Some college but no degree,Bachelors degree(BA AB BS)
education,11th grade,10th grade
education,Some college but no degree,Bachelors degree(BA AB BS)
