target,actual,predicted
education,Some college but no degree,High school graduate
education,Children,1st 2nd 3rd or 4th grade
education,Bachelors degree(BA AB BS),Doctorate degree(PhD EdD)
education,Some college but no degree,Doctorate degree(PhD EdD)
education,Bachelors degree(BA AB BS),Less than 1st grade
education,High school graduate,Less than 1st grade
education,Children,Children
education,5th or 6th grade,1st 2nd 3rd or 4th grade
education,High school graduate,Less than 1st grade
education,High school graduate,Doctorate degree(PhD EdD)
education,7th and 8th grade,10th grade
education,Bachelors degree(BA AB BS),Children
education,11th grade,1st 2nd 3rd or 4th grade
education,9th grade,Less than 1st grade
education,Prof school degree (MD DDS DVM LLB JD),Some college but no degree
education,High school graduate,High school graduate
education,Associates degree-occup /vocational,Doctorate degree(PhD EdD)
education,Some college but no degree,Less than 1st grade
education,High school graduate,Less than 1st grade
education,Children,Children
education,High school graduate,Less than 1st grade
education,Associates degree-academic program,Doctorate degree(PhD EdD)
education,7th and 8th grade,Less than 1st grade
education,5th or 6th grade,Doctorate degree(PhD EdD)
education,Bachelors degree(BA AB BS),Bachelors degree(BA AB BS)
education,Bachelors degree(BA AB BS),Doctorate degree(PhD EdD)
education,Bachelors degree(BA AB BS),Doctorate degree(PhD EdD)
education,High school graduate,High school graduate
education,Some college but no degree,Bachelors degree(BA AB BS)
education,Masters degree(MA MS MEng MEd MSW MBA),1st 2nd 3rd or 4th grade
education,11th grade,9th grade
education,Some college but no degree,1st 2nd 3rd or 4th grade
education,Bachelors degree(BA AB BS),Less than 1st grade
education,Prof school degree (MD DDS DVM LLB JD),Less than 1st grade
education,Children,Children
education,10th grade,Less than 1st grade
education,Bachelors degree(BA AB BS),5th or 6th grade
education,Bachelors degree(BA AB BS),Doctorate degree(PhD EdD)
education,Some college but no degree,Less than 1st grade
education,Some college but no degree,Less than 1st grade
education,High school graduate,Bachelors degree(BA AB BS)
education,Bachelors degree(BA AB BS),Less than 1st grade
education,Some college but no degree,High school graduate
education,High school graduate,Doctorate degree(PhD EdD)
education,10th grade,5th or 6th grade
education,High school graduate,High school graduate
education,10th grade,Doctorate degree(PhD EdD)
education,9th grade,Doctorate degree(PhD EdD)
education,High school graduate,Less than 1st grade
education,11th grade,5th or 6th grade
education,Bachelors degree(BA AB BS),Some college but no degree
education,Some college but no degree,Associates degree-occup /vocational
education,Some college but no degree,Less than 1st grade
education,11th grade,High school graduate
education,Bachelors degree(BA AB BS),Doctorate degree(PhD EdD)
education,7th and 8th grade,Some college but no degree
education,Some college but no degree,Less than 1st grade
education,Masters degree(MA MS MEng MEd MSW MBA),Less than 1st grade
education,Some college but no degree,Doctorate degree(PhD EdD)
education,Bachelors degree(BA AB BS),High school graduate
education,11th grade,High school graduate
education,High school graduate,High school graduate
education,Some college but no degree,Doctorate degree(PhD EdD)
education,Less than 1st grade,Bachelors degree(BA AB BS)
education,11th grade,Less than 1st grade
education,Some college but no degree,1st 2nd 3rd or 4th grade
education,High school graduate,High school graduate
education,Bachelors degree(BA AB BS),1st 2nd 3rd or 4th grade
education,9th grade,Children
education,Masters degree(MA MS MEng MEd MSW MBA),Associates degree-occup /vocational
education,High school graduate,High school graduate
education,10th grade,Less than 1st grade
education,1st 2nd 3rd or 4th grade,1st 2nd 3rd or 4th grade
education,9th grade,Less than 1st grade
education,9th grade,10th grade
education,9th grade,High school graduate
education,11th grade,1st 2nd 3rd or 4th grade
education,9th grade,1st 2nd 3rd or 4th grade
education,Some college but no degree,Less than 1st grade
education,10th grade,Less than 1st grade
education,Masters degree(MA MS MEng MEd MSW MBA),Less than 1st grade
education,Doctorate degree(PhD EdD),Bachelors degree(BA AB BS)
education,Some college but no degree,High school graduate
education,Masters degree(MA MS MEng MEd MSW MBA),Prof school degree (MD DDS DVM LLB JD)
education,Masters degree(MA MS MEng MEd MSW MBA),Doctorate degree(PhD EdD)
education,High school graduate,High school graduate
education,Some college but no degree,Doctorate degree(PhD EdD)
education,Some college but no degree,Doctorate degree(PhD EdD)
education,High school graduate,High school graduate
education,Less than 1st grade,10th grade
education,9th grade,1st 2nd 3rd or 4th grade
education,High school graduate,1st 2nd 3rd or 4th grade
education,Bachelors degree(BA AB BS),Bachelors degree(BA AB BS)
education,12th grade no diploma,Less than 1st grade
education,11th grade,High school graduate
education,11th grade,High school graduate
education,Less than 1st grade,Children
education,Children,Children
education,Some college but no degree,Bachelors degree(BA AB BS)
education,Prof school degree (MD DDS DVM LLB JD),1st 2nd 3rd or 4th grade
education,High school graduate,High school graduate
education,7th and 8th grade,Doctorate degree(PhD EdD)
education,10th grade,1st 2nd 3rd or 4th grade
education,12th grade no diploma,Less than 1st grade
education,11th grade,Less than 1st grade
education,High school graduate,Doctorate degree(PhD EdD)
