target,actual,predicted
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Cuban,Cuban
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,Mexican-American,All other
hispanicorigin,Mexican-American,Mexican (Mexicano)
hispanicorigin,Mexican-American,All other
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,Puerto Rican,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Do not know,All other
hispanicorigin,All other,All other
hispanicorigin,Mexican-American,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Mexican-American,Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Do not know,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Puerto Rican,Mexican (Mexicano)
hispanicorigin,Mexican-American,All other
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,Mexican (Mexicano),Puerto Rican
hispanicorigin,Puerto Rican,Puerto Rican
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Mexican (Mexicano),All other
hispanicorigin,Mexican-American,Mexican (Mexicano)
hispanicorigin,Central or South American,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Mexican-American,All other
hispanicorigin,Mexican-American,All other
hispanicorigin,All other,All other
hispanicorigin,Mexican-American,Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Cuban,All other
hispanicorigin,Other Spanish,All other
hispanicorigin,All other,All other
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,Central or South American
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,Chicano,All other
hispanicorigin,Puerto Rican,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Other Spanish,All other
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,Mexican-American,Mexican (Mexicano)
hispanicorigin,Mexican (Mexicano),All other
hispanicorigin,All other,All other
hispanicorigin,Do not know,All other
hispanicorigin,All other,Central or South American
hispanicorigin,All other,All other
hispanicorigin,Cuban,Cuban
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,Puerto Rican,All other
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Other Spanish,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Other Spanish,Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,Mexican (Mexicano),Central or South American
hispanicorigin,All other,All other
hispanicorigin,Central or South American,All other
hispanicorigin,Puerto Rican,Puerto Rican
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Mexican (Mexicano),All other
hispanicorigin,All other,Central or South American
hispanicorigin,Cuban,Cuban
hispanicorigin,Central or South American,Other Spanish
hispanicorigin,Other Spanish,All other
hispanicorigin,Mexican (Mexicano),All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Puerto Rican
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Mexican-American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,Central or South American
hispanicorigin,Cuban,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,All other,Puerto Rican
hispanicorigin,Other Spanish,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Mexican (Mexicano),All other
hispanicorigin,Mexican-American,All other
hispanicorigin,Puerto Rican,Other Spanish
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,Puerto Rican,All other
hispanicorigin,Central or South American,Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,Puerto Rican,Puerto Rican
hispanicorigin,Cuban,Cuban
hispanicorigin,Puerto Rican,All other
hispanicorigin,Mexican (Mexicano),All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Cuban,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Central or South American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,Cuban,All other
hispanicorigin,All other,All other
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Central or South American,Puerto Rican
hispanicorigin,All other,All other
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,All other,All other
hispanicorigin,Puerto Rican,Puerto Rican
hispanicorigin,Mexican-American,Mexican (Mexicano)
hispanicorigin,Central or South American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,Mexican (Mexicano),All other
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,All other,All other
hispanicorigin,Cuban,Cuban
hispanicorigin,Mexican (Mexicano),All other
hispanicorigin,All other,All other
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,All other,Central or South American
hispanicorigin,Central or South American,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Mexican-American,Mexican (Mexicano)
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Cuban,Cuban
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Central or South American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,Chicano,Mexican (Mexicano)
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Central or South American,Central or South American
hispanicorigin,All other,All other
hispanicorigin,Mexican (Mexicano),Mexican (Mexicano)
hispanicorigin,Other Spanish,Central or South American
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,All other,All other
hispanicorigin,Cuban,All other
hispanicorigin,All other,All other
