target,actual,predicted
race,White,White
race,White,White
race,White,White
race,Other,White
race,White,White
race,White,White
race,Other,White
race,White,White
race,White,White
race,White,White
race,White,White
race,White,White
race,White,White
race,White,White
race,White,White
race,Asian or Pacific Islander,White
race,White,White
race,Asian or Pacific Islander,White
race,Black,White
race,Black,White
race,White,White
race,White,White
race,White,White
race,Other,White
race,White,White
race,White,White
race,Black,White
race,White,White
race,Amer Indian Aleut or Eskimo,White
race,White,White
race,Other,White
race,White,White
race,White,White
race,White,White
race,Other,White
race,White,White
race,Other,White
race,White,White
race,Black,White
race,Black,White
race,White,White
race,Black,White
race,Black,White
race,White,White
race,White,White
race,Other,White
race,Black,White
race,Amer Indian Aleut or Eskimo,White
race,White,White
race,Black,White
race,Other,White
race,Asian or Pacific Islander,White
race,White,White
race,Asian or Pacific Islander,White
race,Black,White
race,Asian or Pacific Islander,White
race,Amer Indian Aleut or Eskimo,White
race,White,White
race,Asian or Pacific Islander,White
race,White,White
race,White,White
race,Black,White
race,White,White
race,Black,White
race,Black,White
race,White,White
race,Amer Indian Aleut or Eskimo,White
race,White,White
race,Black,White
race,White,White
race,White,White
race,White,White
race,Asian or Pacific Islander,White
race,Black,White
race,Black,White
race,Amer Indian Aleut or Eskimo,White
race,Black,White
race,Amer Indian Aleut or Eskimo,White
race,Black,White
race,Amer Indian Aleut or Eskimo,White
race,Asian or Pacific Islander,White
race,Black,White
race,Black,White
race,White,White
race,Black,White
race,White,White
race,Asian or Pacific Islander,White
race,Amer Indian Aleut or Eskimo,White
race,Other,White
regionofpreviousresidence,Not in universe,Not in universe
regionofpreviousresidence,South,South
regionofpreviousresidence,South,South
regionofpreviousresidence,South,South
regionofpreviousresidence,West,Abroad
regionofpreviousresidence,South,South
regionofpreviousresidence,Midwest,Midwest
regionofpreviousresidence,Northeast,Northeast
regionofpreviousresidence,West,West
regionofpreviousresidence,Midwest,Midwest
regionofpreviousresidence,Midwest,Midwest
regionofpreviousresidence,Not in universe,Not in universe
