target,actual,predicted
education,Some college but no degree,Doctorate degree(PhD EdD)
education,Children,Children
education,High school graduate,Bachelors degree(BA AB BS)
education,Children,Children
education,Masters degree(MA MS MEng MEd MSW MBA),Doctorate degree(PhD EdD)
education,High school graduate,Some college but no degree
education,High school graduate,7th and 8th grade
education,7th and 8th grade,Bachelors degree(BA AB BS)
education,High school graduate,Prof school degree (MD DDS DVM LLB JD)
education,Children,Children
education,Associates degree-occup /vocational,Bachelors degree(BA AB BS)
education,7th and 8th grade,Prof school degree (MD DDS DVM LLB JD)
education,7th and 8th grade,9th grade
education,High school graduate,Doctorate degree(PhD EdD)
education,11th grade,Doctorate degree(PhD EdD)
education,7th and 8th grade,Children
education,1st 2nd 3rd or 4th grade,High school graduate
education,Some college but no degree,Prof school degree (MD DDS DVM LLB JD)
education,High school graduate,Doctorate degree(PhD EdD)
education,High school graduate,Bachelors degree(BA AB BS)
education,Prof school degree (MD DDS DVM LLB JD),Bachelors degree(BA AB BS)
education,High school graduate,Bachelors degree(BA AB BS)
education,Some college but no degree,Prof school degree (MD DDS DVM LLB JD)
education,Masters degree(MA MS MEng MEd MSW MBA),Prof school degree (MD DDS DVM LLB JD)
education,Associates degree-occup /vocational,Prof school degree (MD DDS DVM LLB JD)
education,Children,Children
education,12th grade no diploma,Doctorate degree(PhD EdD)
education,Children,Children
education,Masters degree(MA MS MEng MEd MSW MBA),Doctorate degree(PhD EdD)
education,Some college but no degree,Bachelors degree(BA AB BS)
education,1st 2nd 3rd or 4th grade,Bachelors degree(BA AB BS)
education,High school graduate,High school graduate
education,High school graduate,Prof school degree (MD DDS DVM LLB JD)
education,High school graduate,5th or 6th grade
education,7th and 8th grade,9th grade
education,High school graduate,5th or 6th grade
education,Bachelors degree(BA AB BS),Doctorate degree(PhD EdD)
education,Associates degree-academic program,Prof school degree (MD DDS DVM LLB JD)
education,High school graduate,Associates degree-occup /vocational
education,11th grade,5th or 6th grade
education,Some college but no degree,Some college but no degree
education,High school graduate,7th and 8th grade
education,Doctorate degree(PhD EdD),Doctorate degree(PhD EdD)
education,Some college but no degree,Bachelors degree(BA AB BS)
education,Associates degree-occup /vocational,Prof school degree (MD DDS DVM LLB JD)
education,Bachelors degree(BA AB BS),Prof school degree (MD DDS DVM LLB JD)
education,Associates degree-academic program,Masters degree(MA MS MEng MEd MSW MBA)
education,11th grade,Doctorate degree(PhD EdD)
education,10th grade,Bachelors degree(BA AB BS)
education,Bachelors degree(BA AB BS),Doctorate degree(PhD EdD)
education,Some college but no degree,High school graduate
education,Bachelors degree(BA AB BS),Bachelors degree(BA AB BS)
education,Some college but no degree,Bachelors degree(BA AB BS)
education,10th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,11th grade,11th grade
education,Masters degree(MA MS MEng MEd MSW MBA),Bachelors degree(BA AB BS)
education,7th and 8th grade,Some college but no degree
education,Bachelors degree(BA AB BS),Bachelors degree(BA AB BS)
education,10th grade,Less than 1st grade
education,High school graduate,High school graduate
education,10th grade,Doctorate degree(PhD EdD)
education,10th grade,9th grade
education,11th grade,Bachelors degree(BA AB BS)
education,High school graduate,Prof school degree (MD DDS DVM LLB JD)
education,Masters degree(MA MS MEng MEd MSW MBA),Doctorate degree(PhD EdD)
education,7th and 8th grade,Masters degree(MA MS MEng MEd MSW MBA)
education,Less than 1st grade,7th and 8th grade
education,10th grade,9th grade
education,Some college but no degree,Some college but no degree
education,Masters degree(MA MS MEng MEd MSW MBA),Bachelors degree(BA AB BS)
education,9th grade,Doctorate degree(PhD EdD)
education,12th grade no diploma,12th grade no diploma
education,Masters degree(MA MS MEng MEd MSW MBA),Prof school degree (MD DDS DVM LLB JD)
education,Some college but no degree,Some college but no degree
education,Associates degree-academic program,Doctorate degree(PhD EdD)
education,Masters degree(MA MS MEng MEd MSW MBA),Doctorate degree(PhD EdD)
education,Associates degree-academic program,Associates degree-occup /vocational
education,Associates degree-academic program,Prof school degree (MD DDS DVM LLB JD)
education,11th grade,12th grade no diploma
education,12th grade no diploma,Bachelors degree(BA AB BS)
education,Associates degree-occup /vocational,Masters degree(MA MS MEng MEd MSW MBA)
education,12th grade no diploma,Doctorate degree(PhD EdD)
education,9th grade,Children
education,Some college but no degree,Doctorate degree(PhD EdD)
education,Bachelors degree(BA AB BS),Prof school degree (MD DDS DVM LLB JD)
education,High school graduate,5th or 6th grade
education,5th or 6th grade,Bachelors degree(BA AB BS)
education,Some college but no degree,Masters degree(MA MS MEng MEd MSW MBA)
education,High school graduate,High school graduate
education,7th and 8th grade,Prof school degree (MD DDS DVM LLB JD)
education,Some college but no degree,Some college but no degree
education,Bachelors degree(BA AB BS),Bachelors degree(BA AB BS)
education,Less than 1st grade,Masters degree(MA MS MEng MEd MSW MBA)
education,12th grade no diploma,Associates degree-occup /vocational
education,11th grade,High school graduate
education,Associates degree-academic program,Prof school degree (MD DDS DVM LLB JD)
education,9th grade,5th or 6th grade
